"Drum diameter, cm","Safe Distance, m","Burn rate, kg/s",Unique ID,Propellant type
36,7.493089968,0.5,M1,Model
36,8.804849802,1,M2,Model
36,9.279850927,2,M3,Model
36,8.384938202,5,M4,Model
36,6.826139705,10,M5,Model
60,12.63283138,0.5,M6,Model
60,13.69528674,1,M7,Model
60,16.08381312,2,M8,Model
60,16.41535008,5,M9,Model
60,15.17392871,10,M10,Model
62.3538291,13.11577799,1.5,M11,Model
62.3538291,14.12408025,3,M12,Model
62.3538291,16.69827569,6,M13,Model
62.3538291,17.16533194,15,M14,Model
62.3538291,16.01783457,30,M15,Model
103.9230485,20.24435433,1.5,M16,Model
103.9230485,21.37637042,3,M17,Model
103.9230485,24.21701805,6,M18,Model
103.9230485,27.82718984,15,M19,Model
103.9230485,28.29257973,30,M20,Model
95.2470472,18.9070758,3.5,M21,Model
95.2470472,19.93119459,7,M22,Model
95.2470472,23.05658484,14,M23,Model
95.2470472,26.2458485,35,M24,Model
95.2470472,26.32828069,70,M25,Model
158.7450787,27.10960058,3.5,M26,Model
158.7450787,29.37898102,7,M27,Model
158.7450787,32.10403561,14,M28,Model
158.7450787,40.52106837,35,M29,Model
158.7450787,42.36909051,70,M30,Model
